emi20231201t201023p13003-A,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,emission_cmf_type,plume_bounds,instrument,mission_phase,published_at,modified,emission_version,processing_software,gsd,sensitivity_mode,off_nadir,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,con_tif,rgb_tif,rgb_png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t203038-A,35.3008818,-119.54189,2020-07-08T20:30:38+00,Oil & Gas (1B2),CH4,mf,"[-119.54407310318719, 35.29922544529347, -119.54023977947355, 35.30232696512272]",ang,production,2023-05-14 20:30:29.996846+00:00,2025-03-25 23:22:11.580541+00:00,jpl,,,,,482.049915,75.3175003,4.81,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t203038-1/ang20200708t203038-1_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t203038-1/ang20200708t203038-1_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2020/07/08/ang20200708t203038-1/ang20200708t203038-1_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t203038-1/ang20200708t203038-1_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t203038-1/ang20200708t203038-1_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t203038-C,35.296764,-119.53737,2020-07-08T20:30:38+00,Oil & Gas (1B2),CH4,mf,"[-119.53936327079796, 35.29524104646136, -119.5355632532054, 35.29834250661245]",ang,production,2023-05-14 20:29:35.898260+00:00,2025-03-25 23:20:26.241994+00:00,jpl,,,,,75.967913,37.5205772,4.81,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t203038-A/ang20200708t203038-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t203038-A/ang20200708t203038-A_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2020/07/08/ang20200708t203038-A/ang20200708t203038-A_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t203038-A/ang20200708t203038-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t203038-A/ang20200708t203038-A_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t203038-D,35.286447,-119.4725,2020-07-08T20:30:38+00,Oil & Gas (1B2),CH4,mf,"[-119.47472140665978, 35.28470806673468, -119.47088853122868, 35.287836751022645]",ang,production,2023-05-14 20:26:54.210859+00:00,2025-03-25 23:16:45.598977+00:00,jpl,,,,,336.616424,71.5279668,4.863,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t203038-C/ang20200708t203038-C_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t203038-C/ang20200708t203038-C_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2020/07/08/ang20200708t203038-C/ang20200708t203038-C_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t203038-C/ang20200708t203038-C_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t203038-C/ang20200708t203038-C_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t202321-1,35.284754,-119.42779,2020-07-08T20:30:38+00,Oil & Gas (1B2),CH4,mf,"[-119.42975213685409, 35.28310395422804, -119.42595236972299, 35.28623264593585]",ang,production,2023-05-14 20:28:40.226439+00:00,2025-03-25 23:19:41.024118+00:00,jpl,,,,,443.621795,119.196677,4.712,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t203038-D/ang20200708t203038-D_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t203038-D/ang20200708t203038-D_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2020/07/08/ang20200708t203038-D/ang20200708t203038-D_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t203038-D/ang20200708t203038-D_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t203038-D/ang20200708t203038-D_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t202321-2,35.295289,-119.55219,2020-07-08T20:23:21+00,Oil & Gas (1B2),CH4,mf,"[-119.55424635070337, 35.2934346814656, -119.55041323520832, 35.296563224430784]",ang,production,2023-05-14 20:31:24.162333+00:00,2025-03-25 23:23:29.522452+00:00,jpl,,,,,386.483513,200.048473,4.791,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-1/ang20200708t202321-1_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-1/ang20200708t202321-1_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mf-v1/2020/07/08/ang20200708t202321-1/ang20200708t202321-1_l3a-ime-ch4-mf-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-1/ang20200708t202321-1_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-1/ang20200708t202321-1_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t202321-B,35.2925891,-119.53935,2020-07-08T20:23:21+00,Oil & Gas (1B2),CH4,mf,"[-119.54149807572333, 35.290809567092836, -119.5376981839599, 35.29393806363448]",ang,production,2023-05-14 20:26:54.208758+00:00,2025-03-25 23:16:39.105317+00:00,jpl,,,,,129.833113,34.4834063,4.822,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-2/ang20200708t202321-2_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-2/ang20200708t202321-2_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mf-v1/2020/07/08/ang20200708t202321-2/ang20200708t202321-2_l3a-ime-ch4-mf-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-2/ang20200708t202321-2_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-2/ang20200708t202321-2_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t202321-C,35.281013,-119.51222,2020-07-08T20:23:21+00,Oil & Gas (1B2),CH4,mf,"[-119.51392790621814, 35.279243226043874, -119.51012857965084, 35.28234473503713]",ang,production,2023-05-14 20:27:47.131845+00:00,2025-03-25 23:17:56.242692+00:00,jpl,,,,,159.155873,35.3948976,4.838,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-B/ang20200708t202321-B_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-B/ang20200708t202321-B_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mf-v1/2020/07/08/ang20200708t202321-B/ang20200708t202321-B_l3a-ime-ch4-mf-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-B/ang20200708t202321-B_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-B/ang20200708t202321-B_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t202321-D,35.286297,-119.51032,2020-07-08T20:23:21+00,Oil & Gas (1B2),CH4,mf,"[-119.51230438099068, 35.28433385214383, -119.50850481393708, 35.287435362457]",ang,production,2023-05-14 20:26:54.214657+00:00,2025-03-25 23:16:58.930327+00:00,jpl,,,,,74.5829913,30.6474167,4.838,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-C/ang20200708t202321-C_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-C/ang20200708t202321-C_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mf-v1/2020/07/08/ang20200708t202321-C/ang20200708t202321-C_l3a-ime-ch4-mf-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-C/ang20200708t202321-C_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-C/ang20200708t202321-C_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t202321-E,35.2803693,-119.50944,2020-07-08T20:23:21+00,Oil & Gas (1B2),CH4,mf,"[-119.5114393658215, 35.27872698779453, -119.50763997279712, 35.28185554057564]",ang,production,2023-05-14 20:24:17.874579+00:00,2025-03-25 23:09:23.728362+00:00,jpl,,,,,81.6305232,12.7706626,4.838,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-D/ang20200708t202321-D_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-D/ang20200708t202321-D_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mf-v1/2020/07/08/ang20200708t202321-D/ang20200708t202321-D_l3a-ime-ch4-mf-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-D/ang20200708t202321-D_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-D/ang20200708t202321-D_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t202321-F,35.2738988,-119.49021,2020-07-08T20:23:21+00,Oil & Gas (1B2),CH4,mf,"[-119.49210910269623, 35.2721223864717, -119.48830997634305, 35.27525097478522]",ang,production,2023-05-14 20:30:29.976958+00:00,2025-03-25 23:21:23.439721+00:00,jpl,,,,,150.156164,27.5814048,4.84,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-E/ang20200708t202321-E_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-E/ang20200708t202321-E_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mf-v1/2020/07/08/ang20200708t202321-E/ang20200708t202321-E_l3a-ime-ch4-mf-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-E/ang20200708t202321-E_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-E/ang20200708t202321-E_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t202321-G,35.2791475,-119.47612,2020-07-08T20:23:21+00,Oil & Gas (1B2),CH4,mf,"[-119.47870854243322, 35.27712984084855, -119.47487603132056, 35.28025852054581]",ang,production,2023-05-14 20:26:54.224042+00:00,2025-03-25 23:17:26.571354+00:00,jpl,,,,,65.4950257,37.3033835,4.9,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-F/ang20200708t202321-F_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-F/ang20200708t202321-F_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mf-v1/2020/07/08/ang20200708t202321-F/ang20200708t202321-F_l3a-ime-ch4-mf-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-F/ang20200708t202321-F_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t202321-F/ang20200708t202321-F_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t201547-A,35.2798954548761,-119.470293653967,2020-07-08T20:23:21+00,Electricity Generation (1A1),CO2,mfal,"[-119.4738019032847, 35.276655430604556, -119.46904440145661, 35.280539233348]",ang,production,2025-02-11 22:56:09.798415+00:00,2025-03-25 22:35:54.968216+00:00,v1,0.20.2,,,,574764.514818055,140869.213496715,4.85807291666667,0.599447829871664,26.0109240458309,3.2906056723466,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v002/2020/07/08/ang20200708t202321-G/ang20200708t202321-G_l3a-vis-co2-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v002/2020/07/08/ang20200708t202321-G/ang20200708t202321-G_l3a-vis-co2-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v1/2020/07/08/ang20200708t202321-G/ang20200708t202321-G_l3a-ime-co2-mfal-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v002/2020/07/08/ang20200708t202321-G/ang20200708t202321-G_l3a-vis-co2-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v002/2020/07/08/ang20200708t202321-G/ang20200708t202321-G_l3a-vis-co2-mfa-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t201547-B,35.1877998,-119.44797,2020-07-08T20:15:47+00,Oil & Gas (1B2),CH4,mf,"[-119.4499452997072, 35.18587996625431, -119.44602358105166, 35.18911294238015]",ang,production,2023-05-14 20:28:40.207350+00:00,2025-03-25 23:18:55.832933+00:00,jpl,,,,,183.959993,42.0069902,4.202,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t201547-A/ang20200708t201547-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t201547-A/ang20200708t201547-A_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2020/07/08/ang20200708t201547-A/ang20200708t201547-A_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t201547-A/ang20200708t201547-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t201547-A/ang20200708t201547-A_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t200905-1,35.1663876,-119.4228,2020-07-08T20:15:47+00,Oil & Gas (1B2),CH4,mf,"[-119.42497965774047, 35.16478059051821, -119.4210588957654, 35.1680136170089]",ang,production,2023-05-14 20:29:35.907100+00:00,2025-03-25 23:20:47.161819+00:00,jpl,,,,,221.271847,56.4610836,4.357,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t201547-B/ang20200708t201547-B_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t201547-B/ang20200708t201547-B_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2020/07/08/ang20200708t201547-B/ang20200708t201547-B_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t201547-B/ang20200708t201547-B_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t201547-B/ang20200708t201547-B_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t200905-A,35.2003804,-119.49091,2020-07-08T20:09:05+00,Oil & Gas (1B2),CH4,mf,"[-119.49293005909227, 35.19881585076372, -119.4890078134847, 35.202048746482674]",ang,production,2023-05-14 20:23:41.649533+00:00,2025-03-25 23:08:21.322340+00:00,jpl,,,,,657.233605,167.638633,4.084,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200905-1/ang20200708t200905-1_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200905-1/ang20200708t200905-1_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2020/07/08/ang20200708t200905-1/ang20200708t200905-1_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200905-1/ang20200708t200905-1_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200905-1/ang20200708t200905-1_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t200905-B,35.2068868,-119.51946,2020-07-08T20:09:05+00,Oil & Gas (1B2),CH4,mf,"[-119.52144966663792, 35.205100116827175, -119.51752718217199, 35.20833295925251]",ang,production,2023-05-14 20:31:24.162642+00:00,2025-03-25 23:23:30.490119+00:00,jpl,,,,,95.1104595,19.028994,4.122,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200905-A/ang20200708t200905-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200905-A/ang20200708t200905-A_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2020/07/08/ang20200708t200905-A/ang20200708t200905-A_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200905-A/ang20200708t200905-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200905-A/ang20200708t200905-A_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t200101-1,35.166347,-119.42266,2020-07-08T20:09:05+00,Oil & Gas (1B2),CH4,mf,"[-119.42446632119547, 35.164491963318696, -119.42051156589064, 35.16772491933013]",ang,production,2023-05-14 20:27:47.125078+00:00,2025-03-25 23:17:36.922380+00:00,jpl,,,,,446.476401,90.8020969,4.357,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200905-B/ang20200708t200905-B_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200905-B/ang20200708t200905-B_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2020/07/08/ang20200708t200905-B/ang20200708t200905-B_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200905-B/ang20200708t200905-B_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200905-B/ang20200708t200905-B_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t200101-A,35.0598107,-119.38014,2020-07-08T20:01:01+00,Oil & Gas (1B2),CH4,mf,"[-119.38387534315305, 35.05555254538777, -119.37740585574691, 35.06087613846389]",ang,production,2023-05-14 20:26:54.217443+00:00,2025-03-25 23:17:07.985362+00:00,jpl,,,,,143.699417,45.1939368,5.011,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200101-1/ang20200708t200101-1_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200101-1/ang20200708t200101-1_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2020/07/08/ang20200708t200101-1/ang20200708t200101-1_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200101-1/ang20200708t200101-1_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200101-1/ang20200708t200101-1_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang20200708t200101-B,35.1337767,-119.49487,2020-07-08T20:01:01+00,Oil & Gas (1B2),CH4,mf,"[-119.49700431585352, 35.13178003186698, -119.49308528609059, 35.13501294082458]",ang,production,2023-05-14 20:29:35.900341+00:00,2025-03-25 23:20:31.192944+00:00,jpl,,,,,114.342534,59.14483,4.322,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200101-A/ang20200708t200101-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200101-A/ang20200708t200101-A_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2020/07/08/ang20200708t200101-A/ang20200708t200101-A_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200101-A/ang20200708t200101-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2020/07/08/ang20200708t200101-A/ang20200708t200101-A_l3a-vis-ch4-mf-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
